countries,downloaded_ts,json_generated_ts,description,audio_generated_ts
algeria,2026-07-30 13:02:58,2026-07-30 13:02:58,,
angola,2026-07-30 13:02:58,2026-07-30 13:02:58,,
benin,2026-07-30 13:02:58,2026-07-30 13:02:58,,
botswana,2026-07-30 13:02:58,2026-07-30 13:02:58,,
burkina_faso,2026-07-30 13:02:58,2026-07-30 13:02:58,,
burundi,2026-07-30 13:02:58,2026-07-30 13:02:58,,
cameroon,2026-07-30 13:02:58,2026-07-30 13:02:58,,
cape_verde,2026-07-30 13:02:58,2026-07-30 13:02:58,,
central_african_republic,2026-07-30 13:02:58,2026-07-30 13:02:58,,
chad,2026-07-30 13:02:58,2026-07-30 13:02:58,,
comoros,2026-07-30 13:02:58,2026-07-30 13:02:58,,
democratic_republic_of_the_congo,2026-07-30 13:02:58,2026-07-30 13:02:58,,
djibouti,2026-07-30 13:02:58,2026-07-30 13:02:58,,
egypt,2026-07-30 13:02:58,2026-07-30 13:02:58,,
equatorial_guinea,2026-07-30 13:02:58,2026-07-30 13:02:58,,
eritrea,2026-07-30 13:02:58,2026-07-30 13:02:58,,
eswatini,2026-07-30 13:02:58,2026-07-30 13:02:58,,
ethiopia,2026-07-30 13:02:58,2026-07-30 13:02:58,,
gabon,2026-07-30 13:02:58,2026-07-30 13:02:58,,
gambia,2026-07-30 13:02:58,2026-07-30 13:02:58,,
ghana,2026-07-30 13:02:58,2026-07-30 13:02:58,,
guinea-bissau,2026-07-30 13:02:58,2026-07-30 13:02:58,,
guinea,2026-07-30 13:02:58,2026-07-30 13:02:58,,
kenya,2026-07-30 13:02:58,2026-07-30 13:02:58,,
lesotho,2026-07-30 13:02:58,2026-07-30 13:02:58,,
liberia,2026-07-30 13:02:58,2026-07-30 13:02:58,,
libya,2026-07-30 13:02:58,2026-07-30 13:02:58,,
madagascar,2026-07-30 13:02:58,2026-07-30 13:02:58,,
malawi,2026-07-30 13:02:58,2026-07-30 13:02:58,,
mali,2026-07-30 13:02:58,2026-07-30 13:02:58,,
mauritania,2026-07-30 13:02:58,2026-07-30 13:02:58,,
mauritius,2026-07-30 13:02:58,2026-07-30 13:02:58,,
morocco,2026-07-30 13:02:58,2026-07-30 13:02:58,,
mozambique,2026-07-30 13:02:58,2026-07-30 13:02:58,,
namibia,2026-07-30 13:02:58,2026-07-30 13:02:58,,
