fruit,downloaded_ts,json_generated_ts
apple,2026-07-18 16:34:44,2026-07-21 14:19:26
banana,2026-07-18 16:34:45,2026-07-21 14:19:28
orange,2026-07-18 16:34:45,2026-07-21 14:19:31
grape,2026-07-18 16:34:46,2026-07-21 14:19:33
pear,2026-07-18 16:34:47,2026-07-21 14:19:36
strawberry,2026-07-18 16:34:48,2026-07-21 14:19:38
lemon,2026-07-18 16:34:49,2026-07-21 14:19:41
mango,2026-07-18 20:39:39,2026-07-21 14:19:43
pineapple,2026-07-18 20:39:40,2026-07-21 14:19:46
watermelon,2026-07-18 20:39:41,2026-07-21 14:19:48
kiwi,2026-07-18 20:39:42,2026-07-21 14:19:51
peach,2026-07-18 20:39:43,2026-07-21 14:19:53
plum,2026-07-19 14:30:36,2026-07-21 14:19:56
cherry,2026-07-19 14:30:36,2026-07-21 14:19:58
blueberry,2026-07-19 14:30:38,2026-07-21 14:20:00
raspberry,2026-07-19 14:30:38,2026-07-21 14:20:03
blackberry,2026-07-19 14:30:39,2026-07-21 14:20:06
papaya,2026-07-19 14:30:40,2026-07-21 14:20:08
guava,2026-07-19 14:30:41,2026-07-21 14:20:11
pomegranate,2026-07-19 14:30:42,2026-07-21 14:20:14
fig,2026-07-19 14:30:43,
apricot,2026-07-19 14:30:44,
cantaloupe,2026-07-19 14:30:45,
honeydew,2026-07-19 14:30:46,
lychee,2026-07-19 14:30:47,
mandarin,2026-07-19 14:30:49,
tangerine,2026-07-19 14:30:49,
grapefruit,2026-07-19 14:30:50,
dragon fruit,2026-07-19 14:30:52,
passion fruit,2026-07-19 14:30:53,
kiwano,2026-07-19 14:30:54,
jackfruit,2026-07-19 14:30:55,
