vegetables,downloaded_ts,json_generated_ts
cabbage,2026-07-18 16:26:38,2026-07-21 09:51:47
lettuce,2026-07-18 16:26:39,2026-07-21 09:51:49
carrot,2026-07-18 16:26:40,2026-07-21 09:51:51
beetroot,2026-07-18 16:26:41,2026-07-21 09:51:54
cauliflower,2026-07-18 16:26:42,2026-07-21 09:51:56
spinach,2026-07-18 16:26:43,2026-07-21 14:15:17
potato,2026-07-18 16:41:20,2026-07-21 14:15:20
tomato,2026-07-18 16:41:21,2026-07-21 14:15:22
onion,2026-07-18 16:41:22,2026-07-21 14:15:24
garlic,2026-07-18 16:41:23,2026-07-21 14:15:27
broccoli,2026-07-18 16:41:24,2026-07-21 14:15:29
celery,2026-07-18 16:41:25,2026-07-21 14:15:32
cucumber,2026-07-18 16:41:26,2026-07-21 14:15:34
zucchini,2026-07-18 16:41:28,2026-07-21 14:15:36
pumpkin,2026-07-18 16:41:29,2026-07-21 14:15:38
radish,2026-07-18 16:41:30,2026-07-21 14:15:40
turnip,2026-07-18 16:41:32,
parsnip,2026-07-18 16:41:33,
asparagus,2026-07-18 16:41:34,2026-07-21 14:15:46
artichoke,2026-07-18 16:41:35,
eggplant,2026-07-18 16:41:36,2026-07-21 14:15:50
kale,2026-07-18 16:41:38,2026-07-21 14:15:53
brussels sprouts,2026-07-18 16:41:39,2026-07-21 14:15:56
leek,2026-07-18 16:41:40,2026-07-21 14:15:58
okra,2026-07-18 16:41:41,
peas,2026-07-18 16:41:42,2026-07-21 14:16:03
green beans,2026-07-18 16:41:43,2026-07-21 14:16:05
sweet potato,2026-07-18 16:41:44,2026-07-21 14:16:08
bell pepper,2026-07-18 16:41:45,2026-07-21 14:16:10
chili pepper,2026-07-18 16:41:46,
mushroom,2026-07-18 16:41:47,
