fruit,downloaded_ts
apple,2026-07-18 16:34:44
banana,2026-07-18 16:34:45
orange,2026-07-18 16:34:45
grape,2026-07-18 16:34:46
pear,2026-07-18 16:34:47
strawberry,2026-07-18 16:34:48
lemon,2026-07-18 16:34:49
mango,2026-07-18 20:39:39
pineapple,2026-07-18 20:39:40
watermelon,2026-07-18 20:39:41
kiwi,2026-07-18 20:39:42
peach,2026-07-18 20:39:43
plum,
cherry,
blueberry,
raspberry,
blackberry,
papaya,
guava,
pomegranate,
fig,
apricot,
cantaloupe,
honeydew,
lychee,
mandarin,
tangerine,
grapefruit,
dragon fruit,
passion fruit,
kiwano,
jackfruit,
